Population Size,Mutation Rate,Number of Generations,Crossover Function,Mutation Function,No. of Recommendations
100,0.1,10,one_point,inversion,15
100,0.1,10,uniform,swap,5
100,0.1,10,uniform,swap,10
100,0.1,10,uniform,swap,15
100,0.1,10,uniform,inversion,5
100,0.1,10,uniform,inversion,10
100,0.1,10,uniform,inversion,15
100,0.1,20,one_point,swap,5
100,0.1,20,one_point,swap,10
100,0.1,20,one_point,swap,15
100,0.1,20,one_point,inversion,5
100,0.1,20,one_point,inversion,10
100,0.1,20,one_point,inversion,15
100,0.1,20,uniform,swap,5
100,0.1,20,uniform,swap,10
100,0.1,20,uniform,swap,15
100,0.1,20,uniform,inversion,5
100,0.1,20,uniform,inversion,10
100,0.1,20,uniform,inversion,15
100,0.1,40,one_point,swap,5
100,0.1,40,one_point,swap,10
100,0.1,40,one_point,swap,15
100,0.1,40,one_point,inversion,5
100,0.1,40,one_point,inversion,10
100,0.1,40,one_point,inversion,15
100,0.1,40,uniform,swap,5
100,0.1,40,uniform,swap,10
100,0.1,40,uniform,swap,15
100,0.1,40,uniform,inversion,5
100,0.1,40,uniform,inversion,10
100,0.1,40,uniform,inversion,15
100,0.5,10,one_point,swap,5
100,0.5,10,one_point,swap,10
100,0.5,10,one_point,swap,15
100,0.5,10,one_point,inversion,5
100,0.5,10,one_point,inversion,10
100,0.5,10,one_point,inversion,15
100,0.5,10,uniform,swap,5
100,0.5,10,uniform,swap,10
100,0.5,10,uniform,swap,15
100,0.5,10,uniform,inversion,5
100,0.5,10,uniform,inversion,10
100,0.5,10,uniform,inversion,15
100,0.5,20,one_point,swap,5
100,0.5,20,one_point,swap,10
100,0.5,20,one_point,swap,15
100,0.5,20,one_point,inversion,5
100,0.5,20,one_point,inversion,10
100,0.5,20,one_point,inversion,15
100,0.5,20,uniform,swap,5
100,0.5,20,uniform,swap,10
100,0.5,20,uniform,swap,15
100,0.5,20,uniform,inversion,5
100,0.5,20,uniform,inversion,10
100,0.5,20,uniform,inversion,15
100,0.5,40,one_point,swap,5
100,0.5,40,one_point,swap,10
100,0.5,40,one_point,swap,15
100,0.5,40,one_point,inversion,5
100,0.5,40,one_point,inversion,10
100,0.5,40,one_point,inversion,15
100,0.5,40,uniform,swap,5
100,0.5,40,uniform,swap,10
100,0.5,40,uniform,swap,15
100,0.5,40,uniform,inversion,5
100,0.5,40,uniform,inversion,10
100,0.5,40,uniform,inversion,15
150,0.1,10,one_point,swap,5
150,0.1,10,one_point,swap,10
150,0.1,10,one_point,swap,15
150,0.1,10,one_point,inversion,5
150,0.1,10,one_point,inversion,10
150,0.1,10,one_point,inversion,15
150,0.1,10,uniform,swap,5
150,0.1,10,uniform,swap,10
150,0.1,10,uniform,swap,15
150,0.1,10,uniform,inversion,5
150,0.1,10,uniform,inversion,10
150,0.1,10,uniform,inversion,15
150,0.1,20,one_point,swap,5
150,0.1,20,one_point,swap,10
150,0.1,20,one_point,swap,15
150,0.1,20,one_point,inversion,5
150,0.1,20,one_point,inversion,10
150,0.1,20,one_point,inversion,15
150,0.1,20,uniform,swap,5
150,0.1,20,uniform,swap,10
150,0.1,20,uniform,swap,15
150,0.1,20,uniform,inversion,5
150,0.1,20,uniform,inversion,10
150,0.1,20,uniform,inversion,15
150,0.1,40,one_point,swap,5
150,0.1,40,one_point,swap,10
150,0.1,40,one_point,swap,15
150,0.1,40,one_point,inversion,5
150,0.1,40,one_point,inversion,10
150,0.1,40,one_point,inversion,15
150,0.1,40,uniform,swap,5
150,0.1,40,uniform,swap,10
150,0.1,40,uniform,swap,15
150,0.1,40,uniform,inversion,5
150,0.1,40,uniform,inversion,10
150,0.1,40,uniform,inversion,15
150,0.5,10,one_point,swap,5
150,0.5,10,one_point,swap,10
150,0.5,10,one_point,swap,15
150,0.5,10,one_point,inversion,5
150,0.5,10,one_point,inversion,10
150,0.5,10,one_point,inversion,15
150,0.5,10,uniform,swap,5
150,0.5,10,uniform,swap,10
150,0.5,10,uniform,swap,15
150,0.5,10,uniform,inversion,5
150,0.5,10,uniform,inversion,10
150,0.5,10,uniform,inversion,15
150,0.5,20,one_point,swap,5
150,0.5,20,one_point,swap,10
150,0.5,20,one_point,swap,15
150,0.5,20,one_point,inversion,5
150,0.5,20,one_point,inversion,10
150,0.5,20,one_point,inversion,15
150,0.5,20,uniform,swap,5
150,0.5,20,uniform,swap,10
150,0.5,20,uniform,swap,15
150,0.5,20,uniform,inversion,5
150,0.5,20,uniform,inversion,10
150,0.5,20,uniform,inversion,15
150,0.5,40,one_point,swap,5
150,0.5,40,one_point,swap,10
150,0.5,40,one_point,swap,15
150,0.5,40,one_point,inversion,5
150,0.5,40,one_point,inversion,10
150,0.5,40,one_point,inversion,15
150,0.5,40,uniform,swap,5
150,0.5,40,uniform,swap,10
150,0.5,40,uniform,swap,15
150,0.5,40,uniform,inversion,5
150,0.5,40,uniform,inversion,10
150,0.5,40,uniform,inversion,15
